date,text,stars
2/12/2024,Disappointed. I ordered this online because my store was out of this color. Very disappointed t receive this and see the handle is a much lighter shade than the tumbler. I'll still use it but not happy with the color difference,1 out of 5 stars review
12/5/2023,"Given the increasing cost of everyday items such as groceries, you can imagine how frustrated I am to once again receive expired food in my pickup order. The food expired a full month ago. Not only is that a waste of my money, it is also unsafe given that it is dairy. Almost one full month. I placed my order on December 4, 2023 and received cottage cheese that is stamped “best by November 6, 2023”.",1 out of 5 stars review
9/3/2023,"DAMAGED. Supposed to have a handle. It is not there-broken off. If it won't hold up to shipping it won't hold up to the amount of use I will give it. I ordered a lavender 40 oz tumbler because I drink A LOT of water and need something to hold a lot of water in my van AND be easy to handle. I thought WITH a handle this would be ideal. But seeing the poor design of how the handle would have attached, I don't think so. 
AND thought the color would be more like the Ozark 20 oz tumbler I have. I like it but it is not large enough. But without a handle it would be tough to use a 40 oz tumbler while driving.",1 out of 5 stars review
2/8/2024,Deliverer did not use notes for entry code of the building so did not deliver my package.  Instead returned it to the store. This is very upsetting.,1 out of 5 stars review
12/22/2023,I'm upset that I can't use my tumbler because wrong straw sent with it. It wouldn't be so bad if I had an extra taller straw at home to use. Other than that the cup is beautiful!,1 out of 5 stars review
10/22/2023,What idiot came up with this design???  A SCREW IN LID???  A lid that does NOT line up for easy drinking???  It lines up just off the handle which is quite possibly the most clumsy position for the straw!!!,1 out of 5 stars review
7/18/2023,I ordered this Tumbler and chose curbside service… The associate brought me a Tumbler with no handles. Handle was completely broken off and raw metal connection points exposed. Will be returning.,1 out of 5 stars review
3/20/2023,"came scuffed up, if i was good at returns id exhange it , but the shipping on this was already delayed to begin with, and dont feel like dealing with returns.",1 out of 5 stars review
11/13/2023,When I got it via pick up it was cracked and I didn't notice until I got home and got it out of the bag to wash it.,1 out of 5 stars review
1/7/2024,I received my cup broken!,1 out of 5 stars review
10/3/2023,This product was sent with a bent part in the metal on the bottom of the cup. Didn't realize it until after the first week. Picture attached.,1 out of 5 stars review
8/29/2023,Product shown with straw but was not delivered with a straw. I will return item when I am able to go out.,1 out of 5 stars review
4/19/2023,I have ordered 2 of these to be shipped to me. They have both come extremely dinged up and chipped and to top it off the second one has no straw! And Walmart is making me go in twice to return them. its so ridiculous and inconvenient.,1 out of 5 stars review
11/11/2023,Lid was broken when I received,1 out of 5 stars review
3/15/2023,"Arrived scratched, Walmart made it right but it doesn’t hold ice long at all like other Ozark I’ve used. Put ice in around 10 pm and by 5 am all ice had melted. Super disappointing since other Ozark tumblers I’ve used held ice for days! The lavender color is very pretty!",1 out of 5 stars review
4/5/2023,"These cups are great however, the shipping is leaves a lot to be desired. I ordered two cups and there was nothing separating them in the box. They are both scratched on the stainless part and One has a scratch in the paint. It’s not like I can return it for a non damaged one because these are sold out everywhere. This was for a gift and I’m bummed.",1 out of 5 stars review
10/21/2023,The Tumblr come with no straw and two dent in the side.,1 out of 5 stars review
8/13/2023,Arrived broken.  Piece chipped off and had to be when packaged as broken piece was not in the box.,1 out of 5 stars review
