date,text,stars
11/6/2023,"Truly like our new full size bed for guests. But , the middle metal bar that helps hold up the bed frame sticks out a little more than I like!! Needs placed further inside of bed frame!  Also purchased mattress firm, and pillow topper, very comfy:)🥰👍🏼👍🏼",4 out of 5 stars review
1/4/2024,"honestly much better than i expected.  i thought the bed would be rough, but it's
 soft. the pictures here were taken right after i got the bed out of the box.",4 out of 5 stars review
7/14/2014,"I purchased this mattress in August of 2011 and paid $209 for the queen size plus $70 shipping as free shipping was not available on the item at the time (hence my 4/5 rating on value, seeing as it would be around $100 cheaper now then when I originally purchased the item).

The mattress is one of the most comfortable mattresses I have had and I received major compliments on the cloud like feel. I was a bit apprehensive to order a mattress-in-a-box and was definitely hard to explain it to friends and family that the bed literally inflated upon arrival.

In or around December of 2013 I too began to experience the sinking in the mattress. After months of uncomfortable rest I was tempted to buy a new mattress. I was going to buy the same exact...",4 out of 5 stars review
4/17/2020,"The mattress is excellent for the price. It was easy to setup and the quality looks good. Note that the mattress is extra firm, so if you lay flat all night, you will ""feel"" it in the morning, but nothing too bad, especially considering the price. Mattress prices are ridiculous so if you're looking for something of good quality and inexpensive, you won't be disappointed.

I've had to deduct the 1 star because Walmart's packaging was disastrous. I was surprised to see the mattress wasn't damaged. The packaging was torn in multiple places as if rats as eaten through it.",4 out of 5 stars review
3/23/2021,I bought this because one it was affordable. And 2 its just a temp for now. My son loves it. And im hoping my twins do as well. It cane in a box and soon as i unwrapped it. It open real quick. With plastic on to protect it. Very happy for my purchase. Why i gave it 4 stars? Only slight issue is it had a tiny space between the mattees and the bed. Which isnt a big deal but I would rather it fit perfectly,4 out of 5 stars review
6/20/2021,"I give This mattress four ⭐ because I will buy it again for a child. The side holds up well to adult weight. But laying on it I can hear the springs popping, like it's busting out of the wrappings. The quilted material is a stain magnet. I spill a little tea on the mattress, thaugh I had wipe it clean , tea stain came back, bigger.",4 out of 5 stars review
1/19/2014,"This mattress is easy to carry if you need to pick it up at the store. It comes in a box that although it does not fit into the trunk of the average car, it will fit nicely into a minivan without even removing the seats. Once you get it, gather the family around the bedroom, and let them watch the show as it comes out of the box rolled up like a tamale and becomes a full fledge mattress. A good mattress. I recommend it.",4 out of 5 stars review
12/3/2023,The mattress is very comfortable and looks well made. It is almost perfect but unfortunately there is a yellow stain on top that became visible after opening the mattress.,4 out of 5 stars review
3/28/2021,good product for the price.  I've had this mattress for 11 months and it's comfortable. However when it arrived I removed the mattress from the box it came in and there were scuff marks on the side  of the mattress.,4 out of 5 stars review
7/15/2021,"Purchased based on other reviews. Nice firm support, for an 8 inch mattress. My son, 220,  is getting great nights of  sleep. I like the coils and foam combo. Free shipping, arrived within a few days. JB Chicago",4 out of 5 stars review
12/13/2016,Twin Mattress unrolled quickly. Left it open over night. There was no smell by next morning. Has been used for 2  weeks now and is comfortable. Have just ordered another one to replace another old mattress.,4 out of 5 stars review
6/6/2016,"For the price, you can't beat it. On the firm side and very comfortable. We needed a king size for a bed in the basement, so the box made it so much easier to get downstairs.",4 out of 5 stars review
1/3/2017,I ordered two twin mattresses for captain platform beds. The fit perfect and my two boys age 2 and 4 have no problems sleeping - I actually napped a few times and mattress was surprisingly comfortable. I highly recommend,4 out of 5 stars review
11/18/2022,"I think for the price you cannot beat the bed at all! I am not very hard to please though, and again the price was really good.
My discrepancy is more with the shipment company because they seem to have probably mishandled it before it got here and so it had a little indention on one side when expanding out but with time it kind of worked itself out for the most part.
So if you need a mattress for a guest room or you just need a new mattress for yourself and you're not wanting to pay much right now then pretty good deal for $120 a full size.",4 out of 5 stars review
9/12/2016,"So far the mattress is good price, thick and nice.  But not on the firm side, so i gave it four stars.",4 out of 5 stars review
8/28/2016,"Excellent mattress, it comes in a box and when you open it expands out. Wonderful.",4 out of 5 stars review
7/21/2023,Got for my man and he loved  it just want it to be more fluffy.,4 out of 5 stars review
7/21/2021,I ordered a full size. The shipping was delayed so  it took over a week to deliver.  The bed was comfortable and good enough. I would  recommend for guest room or kids/teenagers.,4 out of 5 stars review
9/10/2022,"The mattress is fine! It's everything I wanted and it's comfortable to me, but I do not like FedEx. The box of my mattress was left open in the blistering heat in the middle of my driveway!",4 out of 5 stars review
10/17/2018,"For the price you can't go wrong, but please note this bed is pretty FIRM.  I am 7 months pregnant with back pain and my husband has back pain, we've only had this a week and it feels OK, but very firm. However, I hear firm is better for back pain. We bought a fluffy $65 down mattress cover and I think that will help a lot. You can't beat this price though.",4 out of 5 stars review
6/28/2021,these mattresses are awesome I purchased too for my grandkids full size for the bed I can't believe the quality of them very nice,4 out of 5 stars review
9/2/2022,"I only have one issue. It's either the boxing or the delivery. The box broke outside my apartment. It there wasn't a plastic wrap (and thank god for it), it would have gotten dirty.",4 out of 5 stars review
2/18/2020,"I received my mattress today and I am unpleased... when I received the mattress the box was open outside in the snow/rain... it was delayed twice... 
the mattress itself looks to be good but I would be happier if the box wasnt open....",4 out of 5 stars review
10/8/2016,"It arrived within 1 week of ordering, which was great! The box was a little bigger than I anticipated for some reason but I was still able to move it by myself. As soon as I pulled it out of the box it started to inflate, once I took off the tape holding it tight it just popped open! Moved it into position and was able to sit on it right away, after 6hours we were able to enjoy it for bed and couldn't of been happier! We were in search of an affordable mattress since we didn't/don't have a ton to toss into a mattress right now with 3 kids and having just moved, after reading all the reviews we decided to give this one a try and it was worth it! So far it's wonderful, we are actually getting a full night of sleep vs what we were getting on t...",4 out of 5 stars review
5/24/2011,"My children needed a full mattress for a bunk bed that we also purchased from Wal-Mart. We all were a little skeptical because it came in a box, but it worked out really nicely. Be sure to put it where you would like it before unwrapping it because it's easier to move in the box. It takes about 20 min to fill out and be comfortable. It is a little soft, but is a great buy in comparison to other mattresses this thick. Give it a try, you'll enjoy the rest!!",4 out of 5 stars review
5/3/2011,"I was really surprised when I saw the package it came in I was wondering ""Is this a Queen size Mattress, impossible?"" but when I took it home and after assembling the frame to put it on, I was very amazed of how vacuum packed it was and of course how it expanded once the wrapping was removed. For my use this is a very comfortable buy and sleeps excellent for the money you have paid. I recommend this mattress for anyone just starting out or as an second bed for the house.",4 out of 5 stars review
