,date,text,sent
0,2/7/2024,"Unfortunately the tv fell on me after purchasing it and having it professionally mounted by Walmart and they basically said that they couldn't refund me or help me with bodily injury

They also said I booked the mounting service with third party provider and take it up with them basically was the response i got",0
1,11/1/2023,"I love Vizio that’s always my go to brand I have always loved their products, after buying this Television I will be looking into other brands. The Tv won’t hook up to the internet and just won’t turn on some days, I have to unplug them plug back in to get the tv to turn on. Picture quality it great, I might have just gotten a dud",0
2,11/22/2023,"I ordered a Vizio 50"" Class V-Series 4L UHD LED TV on the Walmart Website on Nov 14th.  On Nov 16th I received a confirmation that the TV was delivered.  IT WAS NOT.  I have been battling with Walmart ever since.  It is false advertisement and BAD CUSTOMER SERVICE by Walmart when they do not stand by their products that they sell on their website.  Even if it is shipped by the third-party seller.  Walmart should HONOR the sell and ship a replacement item to the customer.  Walmart STILL has the item on thier website and will not ship me a replacement.  Walmart has partnered with the third party sell and should stand by Walmart's commitment to service the customer.  I specifically told several people that I did NOT want a refund and that I wa...",0
3,12/5/2023,"It didn't work right out of the box. Nothing but vertical and a few horizontal lines. Vizio said it was bad and needed to be replaced by Walmart said I can only return for refund even though they do have a replacement at the store close to me. They delivered it and I had friends set it up since I just had surgery so for me to take apart, rebox and take this 70 inch TV back to the store in my Prius is asking too much. Plus I'll have to deal with the installation of the replacement . Now I've seen people complain about how long it takes Walmart to process refunds and that also isn't fair. According to the promised warranty paperwork that came with the TV Vizio said for TV's over 50 inches they send service people out to fix it, but when I cal...",0
4,12/24/2023,"I ordered  75” Vizio TV and just put it up, but there is damage to the inside of the TV. It was never dropped, and this (see attachment) is what I found when I took off the cardboard protection. I never received an invoice for this product. The only invoice I have is from PayPal, nothing from Walmart. I did purchase a four-year warranty, item %23 18760A2076554307ACB56ACA99741A2F
Please advise.
Thank you.",0
5,12/2/2023,"Bought the 65inch Vizio online and it arrived from FedEx with one plastic strap and coming through the bottom of the box and low and behold once i pulled the tv out it was damaged. On top of that trying to call my local walmart in Woodhaven,MI to see what i can do about it and im being transferred to their online order and pickup department  just to be hung up on after waiting for them to pickup 6 times in a row.... So disappointed only one star because its required it would be none if i could.",0
6,9/7/2023,"From the moment the TV arrived, albeit quickly, within 24hrs, I had a feeling it wasn't our best purchase.  Driver shows up and says “ I dont see how they expect one guy to deliver this thing - come get it “.  To then notice the TV was hauled laid flat in a truck bed- big no no, says right on box in images to haul vertically ONLY. 
The resolution of the TV seems subpar to expectations.  Our old TCL TV we replaced with this one was about five years old and had a  much better picture. 
Games played through xbox are super bright or blurred by poor res.
If this hadnt been our third, yes third! new TV in as many weeks, first one cracked screen, second had a line in picture(both from another store and different brand so thought, lets try somewher...",0
7,8/4/2023,Ordered a 75 inch television as soon as the driver dropped it off took it straight in the house took pictures of the box because it was damaged really bad and then took the TV out and the whole screen has been cracked and lines all down the screen.  looks like it was throw out the back of the truck. I see why shipping Was so fast now.,0
8,8/11/2023,"Came broken, still waiting on refund. Took forever for them to come back to pick it up for the return. Didn't come the first pick up date we scheduled. Then didn't come second time. Ended up getting a text from the guy to schedule a different pickup day and time in which they finally came. Pick up Guy was nice. Just frustrated  with this experience. Delivered via Pilot and picked back up via pilot.",0
9,10/22/2023,"If you buy a TV Get it from the store and don't choose the delivery option. 
First, the date was sent with a tracking number and they delivered on a different day.  Second, they left the unit on my driveway in the middle of the day and I did not receive a message until the end of the day for the delivery. Third, the box has a big hole on the front part of the box looks like a forklift or pallet jack shape hit the box. Fourth, I opened the box to examine the unit and surprise!!! The screen was cracked where the hole in the box was, still waiting for my refund after a week of the return.",0
10,10/14/2023,The tv was broke the delivery person wasn't able to handle it I have the delivery on ring and the pick up along with picks of the broken tv  and Walmart have yet to refund my money or replace the tv it will be 4 weeks next week. I keep getting messages to review the product but no resolve,0
11,9/13/2023,"I'm a bit disappointed that I have to wait 48 hrs before I can report that my purchase was not delivered even after being alerted that it was delivered. I have never had to report on a missing delivery so navagating this process isn't easy. 
I would also suggest that delivery notifications come with a picture of package delivered as other delivery services do. 
In this instance it appears that my package went back to be inspected for some reason but it doesn't say that it went out to be delivered again yet it does say it was left at my door.",0
12,10/11/2023,"I've always been a huge fan of Vizio TVs for years, so recently needed a new one and purchased this one bc I'm committed to brand loyalty. First one I received was used (power cord was still plugged in the TV) and the screen was shattered. Went through the trouble of returning it to Walmart, then decided to get the same brand/series. Now, the second one has network connectivity issues even though my router is only 10 feet from the TV.  This happens about every 20-30 minutes, in the middle of whatever I'm watching, and won't reconnect for 5-10 minutes. No other device in my home has this issue, so I know it is not my wifi. Such a pain! Will be returning this TV and switching brands!",0
13,9/26/2023,"This is my second time within the last month and a half that I have a screen problem. Right out of the box I had dead spots on the top left corner of my screen. They are visible when there is a white or light background. I been through TCL and Vizio with the same problem. I have no idea if it is from handling the product, or a manufacturer defect. I even gave the benefit of the doubt that the screen would fix itself. This process has been frustrating to say the least. I just want a quality product and enjoy a tv.",0
14,12/30/2023,"Aside from the home not being available in my country. Using the buttons from the remote to open up Netflix is useless. I can click the button 100 times and it would not open up Netflix until it wants to. I usually have to turn the tv off and on for it to work. Also, sometimes the screen completely blanks out on me for no reason at all. I’m unable to do anything with it. Even using the microphone button on the remote does not work for me. Not happy with this at all!",0
15,12/17/2023,Order left outside in the rain propped up sideways. Hopefully it will still function properly when it is set up simple knock on the door would've had it unloaded for you and brought inside out of the elements,0
16,11/11/2023,I received a used tv. Really disappointed. Screen cracked and spotty. A person's Netflix was signed in and all! On the box stated reduced rate. I payed full price for this TV. I returned it have to keep shopping around.,0
17,12/18/2023,I bought this on Black Friday and it came with foot prints all over it and the whole screen was busted.  I spoke to a customer service rep and they said they'd refund it but I haven't received anything for it.,0
18,11/25/2023,Unpackaged tv as per the Instructions. And once I turned it on the screen said Vizio then turned white with a black bar on the left side of the screen,0
19,12/13/2023,"I have never had any other brand TVs besides Vizio. The left side has stripes from top to bottom, the right top hand corner is blotchy, not to mention the volume is WAY too loud but then you can't hear it so you keep having to adjust the volume. I bought this 7 months ago. Disappointed would be an understatement",0
20,7/23/2023,When it come to appliance Walmart is not good to order . I ordered a 65 inch came shattered sent it back they sent me the same tv same box shattered not good Walmart,0
21,10/7/2023,How do I return a broken tv? I bought extended warranty and was setting up for cable man to hook up tomorrow and screen is busted! Box is gone. Now what?,0
22,5/12/2023,"Dislike totally, the TVs comes from third party , the box Comes open and with tape around the box inside looks tv used I send email to third party because for my information when I try to return in the store they told me that need to be with the third party retail, I bought online in walmart
App and I not know  that's was third party when I send email they just said returns me $50 for
My satisfaction and that's and I said
Not I want all My money back and the process for
Returns the TVs (2) I just waiting the answer very very bad experience with them RAWLAAS SURPLUS .",0
23,5/23/2023,"Disapointing purchase
I have owned 2 other Vizio tv's that gave us 10 years of service ..... but this one is a disaster
It started giving a flashing bar at the bottom .... followed by lines across the center of the screen 
Started at about 7 months of use and now it is about to go out ......
Not sure what to do with this thing",0
24,4/30/2023,I had this tv for two months then lines started showing up and after having it for only 5 months I got to turn it on and the tv was grey with multiple lines thankfully Vizio did have a warranty so we'll be able to get a new one but it's that's not something you want to do then do NOT waste time buying this tv,0
25,9/19/2023,"I was left in the front of the house….upside down and a damp concrete!
Customer service said they would send another one AND THEN TAKE THIS ONE BACK.
The appointment was right on time by himself, poor guy.
He was only the delivery service.
He apologized that he was only told it was a PICK UP.",0
26,12/31/2023,"Was excited to get this tv after reading the reviews / spending years without one. 

Unfortunately, the tv (which was dropped on the porch without a signature or even a knock) arrived damaged. The photo attached is from the first 30 minutes of use and the entire right side of the screen has degraded in the weeks since. What a waste of money. 

Walmart doesn’t have the option to speak with a representative to resolve, only a chatbot that talks you in circles without any customer support. Please offer a refund for damaged goods - or easy option for replacement of faulty merchandise!",0
27,7/15/2023,Will not connect to the Wi-Fi. I have to reconfigure the piece of crap EVERY time I turn the TV on. Waste of time and waste of money,0
28,2/14/2024,"I bought this TV and when it got delivered the screen was shattered.  There was no remote, power cord or legs.  I immediately let them know and was told to take it back to any Wal Mart store with bar code sent as receipt for refund by March 3.  I took it back and was told they would not except it because I did not buy it from that store.  The guy I was dealing with Ryan was the most rude unhelpful excuse of a manager and should be demoted to stock boy.  Then I get in touch with someone from the on line side of things and nothing works and he really cannot help and it would be 48 hours before problems would be fixed and 72 hours later and nothing.  He did tell me I would most likely have to take it to a fed ex to return but he was not real s...",0
29,11/27/2023,Two weeks and a line appeared across the screen now I have to watch it like that it's crap,0
30,12/3/2023,Order this tv twice and both times it arrived broken,0
31,8/19/2023,TV came with a cracked screen,0
32,7/18/2023,Don't buy this.  I hadn't even had it a week when it stopped working!!!,0
33,7/18/2023,My order came with the security protector still on it,0
34,1/31/2024,my tv came in broken. i got it all set up and when i go to turned it on this was what i see. i would like a new one set to me. i spent to much money for nothing .,0
35,9/10/2023,"Box came with a hole in it. I did not worry about it, because the screen was not cracked but as soon as I plugged it in, it was definitely broken.",0
36,8/10/2023,This is how my TV arrived. I got a refund but have to first box it up and set up a pickup what an inconvenience for me. Very disappointing.,0
37,12/30/2022,"TV worked great when i got it in march, then around September the display had random lines on it, it started to glitch out on me and started to flicker on and off. This is 6 months after getting the tv, now its essentially a 50 inch tv shaped paperweight that works sometimes. The worst part of all is that the tv I got was a gift and since i dont have the receipt for it vizo won't honor the warranty meaning i cant even get it replaced. I highly recommend that if you get this tv then please be wary, and keep the receipt for it if you can.",0
38,12/14/2021,"tv arrived quickly ,,(only one man truck)delivered it.   let tv sit in house 24 hours before unpacking and pluging it in.... the tv setup and worked for about 12 hours then started scan lines over the 2/3 of the picture ...Not all channels in watch free  did not work about 50 to 60% have lines over the picture...",0
39,2/24/2023,"I’ve had 2 of the same TV’s in the last year. The first tv stopped working after a few months, the display was not operable. Returned for a tv of the same brand size and series, it’s lasted about 6-8 month and have already developed lines across the tv so it’ll die any day now.",0
40,11/1/2022,"our tv did not come with a remote, we spent 2 hours on the phone to be hung up on then started a chat with someone that said someone else would come on and that never happened either! ill never purchase from Walmart online again! now we have a tv that we cant watch! great $800 not well spent!!",0
41,11/11/2022,"Worst TV ever. Every time I want to stream YouTube or videos from my phone it won’t work. Complete waste of money! I can’t even use my TV! I highly recommend looking into another item as this TV has caused problems since I got it. In multiple occasions when I use apps like HBO, Netflix, or the freeTV service it provides, the only thing that will show is a black screen! I have never written a review before on Walmart but I would like to save anyone else the trouble than to purchase this item.",0
42,10/14/2022,"If I could give this 0 stars I would. My previous tv was a Vizio and it has work beautifully for 10 years. This is why when I decided to get a new tv with a larger screen I got another Vizio. But this is a piece of junk. It work perfect for about  9 months. Now when it does turn on it has a 6” strip down the middle that is all messed up and white dotted light that run across the screen. I have never left a review on an item before but this is ridiculous, a $400 tv should work for more than 9 months. I used to trust Vizio's products but not any more. So mad and disappointed.",0
43,3/29/2023,Over.    Would not help.  Don’t buy anything unless you use right away.,0
44,7/25/2023,The screen was messed up on connection. Want the tv replaced and take the other one with you.,0
45,9/22/2023,"TV arrived damage, and I had to package and print the label myself for the return.",0
46,10/28/2023,"Be careful ordering delivery, as our item (75 in TV) was shoved into a small car and terribly damaged. We're hoping to have it set up that day.",0
47,12/4/2023,SLOW with refunding my money!!!  My TV arrived like this (picture)!!!  Can I get my money back as fast as you took it from my account???,0
48,2/10/2024,"Shipped and arrived on time however tv was destroyed. Shipped in only original retail box, no extra packing or protection.   Lesson learned.",0
49,12/17/2023,I bought the 50” Vizio tv on November 9th. It stopped working on December the 12th and Walmart refused to even give me store credit. This does not make me a happy camper. Just avoid them so you don’t get stuck with a piece of junk,0
50,1/20/2024,Carton was damaged. TV was damaged upon power up.,0
51,5/15/2023,TV arrived broken after i specifically wrote in the delivery description to handle items CAREFULLY. The screen is cracked.,0
52,1/21/2024,I didn't receive my item because the driver chose not to follow the directions. Therfore someone out there has a brand new t.v.,0
53,1/5/2024,"Got the TV on September 3, 2023 and it stopped working! I had to call Vizio because the screen kept popping in and out with a blue screen!",0
54,9/28/2023,"Well I get home from work, to put my new TV together and come to find out the screen has 2 cracks in it. looks like it was dropped.",0
55,9/5/2023,"Ups left tv standing on end in neighbor’s carport. Found it yesterday. We opened the box and removed the tv by directions. Cracked screen!
Do i return to local store?",0
56,9/2/2023,Can't use mirroring or airplay. We've been trying to connect and after my phone got connected it will not play movie. After a month it froze and we turned it off but it won't turn back on.,0
57,8/29/2023,My tv had came shipped to me broken! It had some sort of bubble in the to right corner. I had plugged the television up and all of these discolored lines were going vertically down on the right side smh.,0
58,12/27/2021,I bought this tv for my daughter for Christmas…when she opened the box the tv was dirty..the remote had a slimy substance on it and the legs that came with it were the wrong ones….I was so impressed……….I  could tell it had been rewrapped..,0
59,2/5/2023,I bought this TV in June 2022 and already has streaks and lines running through it with  a purple tint. It’s crazy to pay this much for something and not even last 1 year. My advice “buyer beware “!,0
60,9/23/2022,Flashed green since day 1 and finally today it was unresolvable. I would highly recommend NOT getting this TV and avoiding it at all costs. Waste of $300,0
61,7/14/2022,Unfortunately the TV is awesome but the delivery of it broke the screen on the right side. So I returned it. And went with Target purchase in stock for a 65in unfortunately,0
62,2/3/2023,"Do not buy. It worked fine after a couple of months, and that was it. The screen goes dark, and it glitches. So the worst TV ever. We go to two same Visio, And they are both acting up. I wish I could give it a zero star.",0
63,10/30/2023,Horrible there were so many cracks on the tv,0
64,12/24/2023,Tv arrived completely broken,0
65,12/16/2023,The TV arrived on time but the packaging was seriously damaged.,0
66,2/16/2024,"It was damage when they
delivered  it to me.",0
67,12/14/2023,Dislike the box and tv was damaged when I received the package. The package was left in yard just a few feet from a covered porch,0
