date,text,stars
2/7/2024,"Unfortunately the tv fell on me after purchasing it and having it professionally mounted by Walmart and they basically said that they couldn't refund me or help me with bodily injury

They also said I booked the mounting service with third party provider and take it up with them basically was the response i got",1 out of 5 stars review
11/1/2023,"I love Vizio that’s always my go to brand I have always loved their products, after buying this Television I will be looking into other brands. The Tv won’t hook up to the internet and just won’t turn on some days, I have to unplug them plug back in to get the tv to turn on. Picture quality it great, I might have just gotten a dud",1 out of 5 stars review
11/22/2023,"I ordered a Vizio 50"" Class V-Series 4L UHD LED TV on the Walmart Website on Nov 14th.  On Nov 16th I received a confirmation that the TV was delivered.  IT WAS NOT.  I have been battling with Walmart ever since.  It is false advertisement and BAD CUSTOMER SERVICE by Walmart when they do not stand by their products that they sell on their website.  Even if it is shipped by the third-party seller.  Walmart should HONOR the sell and ship a replacement item to the customer.  Walmart STILL has the item on thier website and will not ship me a replacement.  Walmart has partnered with the third party sell and should stand by Walmart's commitment to service the customer.  I specifically told several people that I did NOT want a refund and that I wa...",1 out of 5 stars review
12/5/2023,"It didn't work right out of the box. Nothing but vertical and a few horizontal lines. Vizio said it was bad and needed to be replaced by Walmart said I can only return for refund even though they do have a replacement at the store close to me. They delivered it and I had friends set it up since I just had surgery so for me to take apart, rebox and take this 70 inch TV back to the store in my Prius is asking too much. Plus I'll have to deal with the installation of the replacement . Now I've seen people complain about how long it takes Walmart to process refunds and that also isn't fair. According to the promised warranty paperwork that came with the TV Vizio said for TV's over 50 inches they send service people out to fix it, but when I cal...",1 out of 5 stars review
12/24/2023,"I ordered  75” Vizio TV and just put it up, but there is damage to the inside of the TV. It was never dropped, and this (see attachment) is what I found when I took off the cardboard protection. I never received an invoice for this product. The only invoice I have is from PayPal, nothing from Walmart. I did purchase a four-year warranty, item %23 18760A2076554307ACB56ACA99741A2F
Please advise.
Thank you.",1 out of 5 stars review
12/2/2023,"Bought the 65inch Vizio online and it arrived from FedEx with one plastic strap and coming through the bottom of the box and low and behold once i pulled the tv out it was damaged. On top of that trying to call my local walmart in Woodhaven,MI to see what i can do about it and im being transferred to their online order and pickup department  just to be hung up on after waiting for them to pickup 6 times in a row.... So disappointed only one star because its required it would be none if i could.",1 out of 5 stars review
9/7/2023,"From the moment the TV arrived, albeit quickly, within 24hrs, I had a feeling it wasn't our best purchase.  Driver shows up and says “ I dont see how they expect one guy to deliver this thing - come get it “.  To then notice the TV was hauled laid flat in a truck bed- big no no, says right on box in images to haul vertically ONLY. 
The resolution of the TV seems subpar to expectations.  Our old TCL TV we replaced with this one was about five years old and had a  much better picture. 
Games played through xbox are super bright or blurred by poor res.
If this hadnt been our third, yes third! new TV in as many weeks, first one cracked screen, second had a line in picture(both from another store and different brand so thought, lets try somewher...",1 out of 5 stars review
8/4/2023,Ordered a 75 inch television as soon as the driver dropped it off took it straight in the house took pictures of the box because it was damaged really bad and then took the TV out and the whole screen has been cracked and lines all down the screen.  looks like it was throw out the back of the truck. I see why shipping Was so fast now.,1 out of 5 stars review
8/11/2023,"Came broken, still waiting on refund. Took forever for them to come back to pick it up for the return. Didn't come the first pick up date we scheduled. Then didn't come second time. Ended up getting a text from the guy to schedule a different pickup day and time in which they finally came. Pick up Guy was nice. Just frustrated  with this experience. Delivered via Pilot and picked back up via pilot.",1 out of 5 stars review
10/22/2023,"If you buy a TV Get it from the store and don't choose the delivery option. 
First, the date was sent with a tracking number and they delivered on a different day.  Second, they left the unit on my driveway in the middle of the day and I did not receive a message until the end of the day for the delivery. Third, the box has a big hole on the front part of the box looks like a forklift or pallet jack shape hit the box. Fourth, I opened the box to examine the unit and surprise!!! The screen was cracked where the hole in the box was, still waiting for my refund after a week of the return.",1 out of 5 stars review
10/14/2023,The tv was broke the delivery person wasn't able to handle it I have the delivery on ring and the pick up along with picks of the broken tv  and Walmart have yet to refund my money or replace the tv it will be 4 weeks next week. I keep getting messages to review the product but no resolve,1 out of 5 stars review
9/13/2023,"I'm a bit disappointed that I have to wait 48 hrs before I can report that my purchase was not delivered even after being alerted that it was delivered. I have never had to report on a missing delivery so navagating this process isn't easy. 
I would also suggest that delivery notifications come with a picture of package delivered as other delivery services do. 
In this instance it appears that my package went back to be inspected for some reason but it doesn't say that it went out to be delivered again yet it does say it was left at my door.",1 out of 5 stars review
10/11/2023,"I've always been a huge fan of Vizio TVs for years, so recently needed a new one and purchased this one bc I'm committed to brand loyalty. First one I received was used (power cord was still plugged in the TV) and the screen was shattered. Went through the trouble of returning it to Walmart, then decided to get the same brand/series. Now, the second one has network connectivity issues even though my router is only 10 feet from the TV.  This happens about every 20-30 minutes, in the middle of whatever I'm watching, and won't reconnect for 5-10 minutes. No other device in my home has this issue, so I know it is not my wifi. Such a pain! Will be returning this TV and switching brands!",1 out of 5 stars review
